country,state,city,station,last_update,latitude,longitude,pollutant_id,min_value,max_value,avg_value
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",13-02-2026 18:00:00,28.636429,77.201067,PM2.5,27,316,118
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",13-02-2026 18:00:00,28.636429,77.201067,NH3,5,11,8
India,Delhi,Delhi,"Mundka, Delhi - DPCC",13-02-2026 18:00:00,28.684678,77.076574,PM10,105,500,238
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",13-02-2026 18:00:00,28.60909,77.0325413,OZONE,12,108,13
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC",13-02-2026 18:00:00,28.570173,76.933762,PM2.5,45,160,100
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC",13-02-2026 18:00:00,28.570173,76.933762,NO2,36,82,71
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC",13-02-2026 18:00:00,28.570173,76.933762,NH3,13,16,14
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC",13-02-2026 18:00:00,28.570173,76.933762,SO2,16,85,26
India,Delhi,Delhi,"Narela, Delhi - DPCC",13-02-2026 18:00:00,28.822836,77.101981,CO,40,73,43
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",13-02-2026 18:00:00,28.567890,77.250515,PM10,91,299,165
India,Delhi,Delhi,"IIT Delhi, Delhi - IITM",13-02-2026 18:00:00,28.542460,77.191651,NO2,20,91,44 
India,Delhi,Delhi,"IIT Delhi, Delhi - IITM",13-02-2026 18:00:00,28.542460,77.191651,OZONE,3,55,47
India,Delhi,Delhi,"ITO, Delhi - CPCB",13-02-2026 18:00:00,28.628624,77.241060,PM2.5,57,315,183
India,Delhi,Delhi,"ITO, Delhi - CPCB",13-02-2026 18:00:00,28.628624,77.241060,PM10,76,175,120
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",13-02-2026 18:00:00,28.732820,77.170633,NH3,26,39,35
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",13-02-2026 18:00:00,28.732820,77.170633,CO,28,107,37
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",13-02-2026 18:00:00,28.611281,77.237738,PM2.5,23,302,153
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",13-02-2026 18:00:00,28.611281,77.237738,NO2,44,157,96
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",13-02-2026 18:00:00,28.647622,77.3158090,PM2.5,57,367,236
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",13-02-2026 18:00:00,28.695381,77.181665,NH3,8,9,8
India,Delhi,Delhi,"Aya Nagar, Delhi - IMD",13-02-2026 18:00:00,28.4706914,77.1099364,NO2,NA,NA,NA
India,Delhi,Delhi,"Bawana, Delhi - DPCC",13-02-2026 18:00:00,28.776200,77.051074,PM2.5,67,358,213
India,Delhi,Delhi,"Bawana, Delhi - DPCC",13-02-2026 18:00:00,28.776200,77.051074,PM10,72,268,154
India,Delhi,Delhi,"Bawana, Delhi - DPCC",13-02-2026 18:00:00,28.776200,77.051074,OZONE,3,92,72
India,Delhi,Delhi,"Alipur, Delhi - DPCC",13-02-2026 18:00:00,28.815329,77.153010,PM2.5,50,346,227
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM",13-02-2026 18:00:00,28.656756,77.227234,CO,61,121,73
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",13-02-2026 18:00:00,28.5710274,77.0719006,PM10,101,354,179
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD",13-02-2026 18:00:00,28.5627763,77.1180053,OZONE,4,57,45
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",13-02-2026 18:00:00,28.6811736,77.3025234,PM2.5,66,188,128
India,Delhi,Delhi,"Patparganj, Delhi - DPCC",13-02-2026 18:00:00,28.623763,77.287209,NO2,14,141,82
India,Delhi,Delhi,"Pusa, Delhi - IMD",13-02-2026 18:00:00,28.636110,77.173332,PM2.5,49,282,146
India,Delhi,Delhi,"Pusa, Delhi - IMD",13-02-2026 18:00:00,28.636110,77.173332,NO2,42,197,108
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",13-02-2026 18:00:00,28.531346,77.190156,PM10,84,139,119
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",13-02-2026 18:00:00,28.531346,77.190156,NO2,18,200,91
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",13-02-2026 18:00:00,28.672342,77.315260,NH3,5,7,6
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",13-02-2026 18:00:00,28.672342,77.315260,SO2,7,28,14
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC",13-02-2026 18:00:00,28.699793,77.165453,PM10,134,277,192
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC",13-02-2026 18:00:00,28.699793,77.165453,SO2,7,11,9
India,Delhi,Delhi,"R K Puram, Delhi - DPCC",13-02-2026 18:00:00,28.563262,77.186937,NH3,6,10,8
India,Delhi,Delhi,"R K Puram, Delhi - DPCC",13-02-2026 18:00:00,28.563262,77.186937,SO2,19,41,31
India,Delhi,Delhi,"Rohini, Delhi - DPCC",13-02-2026 18:00:00,28.732528,77.119920,CO,4,105,10
India,Delhi,Delhi,"Sirifort, Delhi - CPCB",13-02-2026 18:00:00,28.5504249,77.2159377,OZONE,9,24,20
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC",13-02-2026 18:00:00,28.710508,77.249485,OZONE,1,147,120
India,Delhi,Delhi,"Alipur, Delhi - DPCC",13-02-2026 18:00:00,28.815329,77.153010,NH3,12,17,15
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",13-02-2026 18:00:00,28.647622,77.3158090,OZONE,9,53,15
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",13-02-2026 18:00:00,28.60909,77.0325413,NO2,NA,NA,NA
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",13-02-2026 18:00:00,28.60909,77.0325413,CO,36,69,53
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC",13-02-2026 18:00:00,28.570173,76.933762,PM10,46,182,85
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC",13-02-2026 18:00:00,28.570173,76.933762,OZONE,4,162,138
India,Delhi,Delhi,"Narela, Delhi - DPCC",13-02-2026 18:00:00,28.822836,77.101981,PM10,99,246,170
India,Delhi,Delhi,"Narela, Delhi - DPCC",13-02-2026 18:00:00,28.822836,77.101981,NO2,16,52,34
India,Delhi,Delhi,"Narela, Delhi - DPCC",13-02-2026 18:00:00,28.822836,77.101981,NH3,5,7,6
India,Delhi,Delhi,"North Campus, DU, Delhi - IMD",13-02-2026 18:00:00,28.6573814,77.1585447,NO2,47,115,77
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",13-02-2026 18:00:00,28.530785,77.271255,CO,60,131,75
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",13-02-2026 18:00:00,28.530785,77.271255,OZONE,5,206,122
India,Delhi,Delhi,"Patparganj, Delhi - DPCC",13-02-2026 18:00:00,28.623763,77.287209,PM2.5,42,305,196
India,Delhi,Delhi,"DTU, Delhi - CPCB",13-02-2026 18:00:00,28.7500499,77.1112615,OZONE,5,22,17
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",13-02-2026 18:00:00,28.498571,77.264840,PM2.5,50,302,174
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",13-02-2026 18:00:00,28.498571,77.264840,CO,20,100,25
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",13-02-2026 18:00:00,28.498571,77.264840,OZONE,2,150,114
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",13-02-2026 18:00:00,28.5710274,77.0719006,PM2.5,58,315,199
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",13-02-2026 18:00:00,28.5710274,77.0719006,NO2,39,125,80
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",13-02-2026 18:00:00,28.5710274,77.0719006,OZONE,2,93,68
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD",13-02-2026 18:00:00,28.5627763,77.1180053,PM2.5,37,214,117
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD",13-02-2026 18:00:00,28.5627763,77.1180053,CO,6,101,13
India,Delhi,Delhi,"ITO, Delhi - CPCB",13-02-2026 18:00:00,28.628624,77.241060,SO2,7,27,19
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",13-02-2026 18:00:00,28.732820,77.170633,PM10,109,287,185
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",13-02-2026 18:00:00,28.732820,77.170633,SO2,45,55,50
India,Delhi,Delhi,"Lodhi Road, Delhi - IMD",13-02-2026 18:00:00,28.5918245,77.2273074,OZONE,17,138,120
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",13-02-2026 18:00:00,28.611281,77.237738,CO,28,115,62
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",13-02-2026 18:00:00,28.611281,77.237738,OZONE,1,156,121
India,Delhi,Delhi,"Mundka, Delhi - DPCC",13-02-2026 18:00:00,28.684678,77.076574,PM2.5,58,378,237
India,Delhi,Delhi,"Mundka, Delhi - DPCC",13-02-2026 18:00:00,28.684678,77.076574,NO2,56,107,79
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",13-02-2026 18:00:00,28.695381,77.181665,SO2,4,26,17
India,Delhi,Delhi,"Aya Nagar, Delhi - IMD",13-02-2026 18:00:00,28.4706914,77.1099364,PM10,NA,NA,NA
India,Delhi,Delhi,"Bawana, Delhi - DPCC",13-02-2026 18:00:00,28.776200,77.051074,NO2,5,54,26
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",13-02-2026 18:00:00,28.5512005,77.2735737,NO2,23,96,41
India,Delhi,Delhi,"DTU, Delhi - CPCB",13-02-2026 18:00:00,28.7500499,77.1112615,NH3,5,9,6
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",13-02-2026 18:00:00,28.674045,77.131023,SO2,15,19,17
India,Delhi,Delhi,"Pusa, Delhi - DPCC",13-02-2026 18:00:00,28.639652,77.146275,SO2,5,25,13
India,Delhi,Delhi,"R K Puram, Delhi - DPCC",13-02-2026 18:00:00,28.563262,77.186937,CO,45,112,52
India,Delhi,Delhi,"Rohini, Delhi - DPCC",13-02-2026 18:00:00,28.732528,77.119920,NO2,13,84,47
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC",13-02-2026 18:00:00,28.699793,77.165453,PM2.5,77,339,226
India,Delhi,Delhi,"Sirifort, Delhi - CPCB",13-02-2026 18:00:00,28.5504249,77.2159377,PM2.5,58,302,193
India,Delhi,Delhi,"Sirifort, Delhi - CPCB",13-02-2026 18:00:00,28.5504249,77.2159377,CO,10,91,16
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC",13-02-2026 18:00:00,28.710508,77.249485,SO2,26,50,36
