country,state,city,station,last_update,latitude,longitude,pollutant_id,min_value,max_value,avg_value
India,Delhi,Delhi,"Alipur, Delhi - DPCC",16-02-2026 17:00:00,28.815329,77.153010,NO2,26,118,59
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",16-02-2026 17:00:00,28.647622,77.3158090,CO,60,153,91
India,Delhi,Delhi,"Pusa, Delhi - DPCC",16-02-2026 17:00:00,28.639652,77.146275,PM10,135,339,179
India,Delhi,Delhi,"Pusa, Delhi - IMD",16-02-2026 17:00:00,28.636110,77.173332,NO2,47,236,143
India,Delhi,Delhi,"R K Puram, Delhi - DPCC",16-02-2026 17:00:00,28.563262,77.186937,PM10,119,410,209
India,Delhi,Delhi,"R K Puram, Delhi - DPCC",16-02-2026 17:00:00,28.563262,77.186937,CO,26,129,61
India,Delhi,Delhi,"Rohini, Delhi - DPCC",16-02-2026 17:00:00,28.732528,77.119920,PM2.5,73,472,302
India,Delhi,Delhi,"Shadipur, Delhi - CPCB",16-02-2026 17:00:00,28.6514781,77.1473105,NO2,62,213,111
India,Delhi,Delhi,"Sirifort, Delhi - CPCB",16-02-2026 17:00:00,28.5504249,77.2159377,NO2,25,38,32
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC",16-02-2026 17:00:00,28.710508,77.249485,SO2,29,89,57
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",16-02-2026 17:00:00,28.531346,77.190156,PM2.5,50,302,111
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",16-02-2026 17:00:00,28.531346,77.190156,SO2,7,13,10
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",16-02-2026 17:00:00,28.531346,77.190156,CO,14,100,27
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",16-02-2026 17:00:00,28.672342,77.315260,SO2,NA,NA,NA
India,Delhi,Delhi,"DTU, Delhi - CPCB",16-02-2026 17:00:00,28.7500499,77.1112615,PM2.5,61,316,223
India,Delhi,Delhi,"DTU, Delhi - CPCB",16-02-2026 17:00:00,28.7500499,77.1112615,SO2,30,42,33
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",16-02-2026 17:00:00,28.498571,77.264840,SO2,10,22,17
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",16-02-2026 17:00:00,28.5710274,77.0719006,NO2,54,145,95
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",16-02-2026 17:00:00,28.5710274,77.0719006,NH3,1,25,21
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",16-02-2026 17:00:00,28.5710274,77.0719006,SO2,18,34,27
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",16-02-2026 17:00:00,28.695381,77.181665,PM10,113,352,237
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",16-02-2026 17:00:00,28.695381,77.181665,NO2,30,139,82
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",16-02-2026 17:00:00,28.695381,77.181665,SO2,4,33,19
India,Delhi,Delhi,"Aya Nagar, Delhi - IMD",16-02-2026 17:00:00,28.4706914,77.1099364,OZONE,5,91,68
India,Delhi,Delhi,"Bawana, Delhi - DPCC",16-02-2026 17:00:00,28.776200,77.051074,PM2.5,80,500,276
India,Delhi,Delhi,"Bawana, Delhi - DPCC",16-02-2026 17:00:00,28.776200,77.051074,SO2,9,24,14
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",16-02-2026 17:00:00,28.611281,77.237738,SO2,5,38,13
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",16-02-2026 17:00:00,28.636429,77.201067,PM2.5,20,322,150
India,Delhi,Delhi,"Mundka, Delhi - DPCC",16-02-2026 17:00:00,28.684678,77.076574,NH3,9,14,11
India,Delhi,Delhi,"Mundka, Delhi - DPCC",16-02-2026 17:00:00,28.684678,77.076574,SO2,12,37,27
India,Delhi,Delhi,"Mundka, Delhi - DPCC",16-02-2026 17:00:00,28.684678,77.076574,OZONE,5,187,92
